id,title,poster,year,description,genre,rating,users_rating,votes,languages,directors,actors,runtime,rating_float,rating_float_scaled,users_rating_scaled,votes_scaled,runtime_scaled,genre_Action_scaled,genre_Adventure_scaled,genre_Animation_scaled,genre_Biography_scaled,genre_Comedy_scaled,genre_Crime_scaled,genre_Drama_scaled,genre_History_scaled,genre_Horror_scaled,genre_Romance_scaled,genre_Thriller_scaled,languages_Dutch_scaled,languages_English_scaled,languages_Indonesian_scaled,languages_Minangkabau_scaled,trailer_url
1,#FriendButMarried 2,https://resizing.flixster.com/ZQtdjuekB492eyJDKl2sV7d1FJM=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p18503825_p_v10_ab.jpg,2020,"Ayudia (Mawar De Jongh) is not satisfied enough in enjoying the moment as a wife, but she suddenly becomes pregnant. Her personality changes completely and becomes lazy and super sensitive.",Biography,13+,6.5,120,Indonesian,Rako Prijanto,"['Adipati Dolken', 'Mawar Eva de Jongh', 'Vonny Cornellya', 'Sari Nila', 'Ivan Leonardy', 'Clay Gribble', 'Sarah Sechan', 'Jourdy Pranata', 'Tubagus Ali', 'Ravil Prasetya', 'Nagra Kautsar Pakusadewo', 'Canti Tachril', 'Thalia Basir', 'Sp Lili', 'Anna Tairas']",100,13,-0.064632138,0.078008659,-0.114035034,0.062093111,-0.313625024,-0.260248119,-0.061199006,5.700877125,-0.502331015,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,https://www.youtube.com/watch?v=ORFOx_iAOkM
2,4 Mantan,https://m.media-amazon.com/images/M/MV5BMjA1NTcyZWUtNTBkOC00MWI0LWFjNjYtM2U3Mzg2MTYwZDVlXkEyXkFqcGc@._V1_QL75_UX150_.jpg,2020,"Sara, Airin, Rachel, and Amara were accidentally brought together after the death of their ex, Alex. All four received a letter saying that there was one killer among them.",Thriller,17+,6.4,8,Indonesian,Hanny Saputra,"['Ranty Maria', 'Jeff Smith', 'Melanie Berentz', 'Denira Wiraguna', 'Melayu Nicole', 'Cinta Brian', 'Delano Daniel', 'Denny Weller', 'Mario Wiericx', 'Wani Siregar', 'Gary M. Iskak', 'Akja Dethan', 'Ayu Dyah Pasha', nan, nan]",80,17,0.741014979,0.003608942,-0.122312206,-1.307532714,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,16.34013464,-0.061199006,-0.175411604,0.196874808,-0.061199006,https://www.youtube.com/watch?v=9crEPXPckqA
3,Aku Tahu Kapan Kamu Mati,https://m.media-amazon.com/images/M/MV5BY2Y2OWNmN2UtMWQwYi00OTg5LWI3NjgtMzUyMzY4NjZhMDQ2XkEyXkFqcGc@._V1_QL75_UX234_.jpg,2020,"After apparent death, Siena is able to see signs that people will die. However, her friends did not believe in her abilities. Then, the sign appeared on her and those closest to her.",Horror,13+,5.4,17,Indonesian,Hadrah Daeng Ratu,"['Natasha Wilona', 'Ria Ricis', 'Al Ghazali', 'Fitria Rasyidi', 'Ryma Karimah', 'Sonia Alexa', 'Asri Welas', 'Cathrine Wilson', 'Opie Kumis', 'Adinda Halona', 'Elizabeth Christine', 'Daus Separo', 'Rita Nurmaliza', 'Anastasia Adamova', nan]",92,13,-0.064632138,-0.740388234,-0.121647076,-0.485757219,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,1.732050808,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,https://www.youtube.com/watch?v=v77dx4wvWY0
4,Anak Garuda,https://m.media-amazon.com/images/M/MV5BMDE3MDQ0ODktNjExYy00NjkyLTg4OWUtZDU4ZTMwNzBkYzcxXkEyXkFqcGc@._V1_QL75_UX130.5_.jpg,2020,"Good Morning Indonesia, a school for poor orphans, invites seven children to become a team. But, jealousy and envy started because of the hidden love between them. They are sent to Europe without accompany, and the conflicts are exploded.",Adventure,13+,9.1,27,Indonesian,Faozan Rizal,"['Tissa Biani Azzahra', 'Violla Georgie', 'Ajil Ditto', 'Clairine Clay', 'Geraldy Krechoff', 'Rania Putri Sari', 'Rebecca Klopper', 'Kiki Narendra', 'Krisjiana Baharuddin', 'Rizky Mocil', 'Faradina Mufti', 'Laras Sardi', 'Fatih Unru', 'Iqbal Solaiman', 'Toran Waibro']",129,13,-0.064632138,2.012401317,-0.120908043,2.048050558,-0.313625024,3.84248694,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
5,Dignitate,https://m.media-amazon.com/images/M/MV5BMmZhNGJmZmYtZDhjMS00OTcwLWE2NWUtODAxOWZjMzZlOGY5XkEyXkFqcGc@._V1_QL75_UX340.5_.jpg,2020,"Alfi (Al Ghazali) meets Alana (Caitlin Halderman), a new student at school. It turns out that they are in one class and sitting next to each other. Instead of getting along, they often argue because they both are stubborn.",Drama,17+,7.6,33,Indonesian,Fajar Nugros,"['Al Ghazali', 'Caitlin Halderman', 'Giorgino Abraham', 'Teuku Rizky Muhammad', 'Sophia Latjuba', 'Izabel Jahja', 'Budiman Sudjatmiko', 'Sonia Alyssa', 'Naimma Aljufri', 'Kiara Mckenna', 'Lania Fira', 'Kanneth Santana', 'Bramanta Sadhu', 'Dinda Kanyadewi', 'Mat Oil']",109,17,0.741014979,0.896405553,-0.120464623,0.678424732,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
6,Hunter in the Blue Side of Manchester,https://m.media-amazon.com/images/M/MV5BYjUyNTgzYzAtMjJhNi00NjM5LWJjNTItYmI1YWRmYmE4ZWQ0XkEyXkFqcGc@._V1_QL75_UX211.5_.jpg,2020,"This movie tells the story of Hanif Thamrin (Adipati Dolken) leaving his hometown and trying to pursue his dream to become the only Indonesian at that time who works in the biggest soccer league in the world, English Premier League.",Biography,13+,6.2,21,English,Rako Prijanto,"['Adipati Dolken', 'Ganindra Bimo', 'Vonny Cornellya', 'Donny Alamsyah', 'Eddie Addison', 'Luis Amália', 'Priscila Araujo', 'Juliana Barros', 'Sabean Bea', 'Kiera Bell', 'Jamie Buchanan', 'Maurice Byrne', 'Ian Frost', 'Milica Guceva', 'Yasmin Hodges']",90,13,-0.064632138,-0.145190494,-0.121351463,-0.622719801,-0.313625024,-0.260248119,-0.061199006,5.700877125,-0.502331015,-0.106399035,-0.717024612,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,5.700877125,-5.07937004,-0.061199006,
7,Janin,https://m.media-amazon.com/images/M/MV5BODg2MDA0OTQtNTE4NC00MmRiLTk2ZTAtZjMzY2ZmNjJhNTE2XkEyXkFqcGc@._V1_QL75_UX418.5_.jpg,2020,"Randu (Reuben Elishama Hadju) and Dinar (Jill Gladys) are happy because Dinar conceives for the fourth month. However, their happiness slowly disappears when a middle-aged woman, Sukma (...",Horror,17+,6.1,7,Indonesian,Ook Budiyono,"['Jill Gladys', 'Reuben Elishama', 'Meriam Bellina', 'Arnold Leonard', 'Babe Cabita', 'Rhesa Putri', 'Richelle Georgette Skornicki', 'Regina Rengganis', 'Dayu Wijanto', nan, nan, nan, nan, nan, nan]",85,17,0.741014979,-0.219590211,-0.12238611,-0.965126258,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,1.732050808,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
8,Mangkujiwo,https://m.media-amazon.com/images/M/MV5BYThhMzM5YzMtNmYzYi00NGNkLThkMWMtMjU0MTBiYmY0YTEwXkEyXkFqcGc@._V1_QL75_UX241.5_.jpg,2020,A born of Kuntilanak from a Twin Mirror with her misery.,Horror,17+,5.9,67,Indonesian,Azhar Kinoi Lubis,"['Sujiwo Tejo', 'Yasamin Jasem', 'Asmara Abigail', 'Roy Marten', 'Karina Suwandhi', 'Djenar Maesa Ayu', 'Samuel Rizal', 'Septian Dwi Cahyo', 'Kedung Darma R.', 'Landung Simatupang', 'Merriel Jessica Tarihoran', 'Elang El Gibran', 'Marcus Hacquebord', 'Gogot Suryanto', 'Kukuh']",109,17,0.741014979,-0.368389646,-0.11795191,0.678424732,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,1.732050808,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
9,Mariposa,https://m.media-amazon.com/images/M/MV5BNjhhODk0YzktMWI1Ny00MzdiLTlhNDgtZWQxMmU3ODU0MzdjXkEyXkFqcGc@._V1_QL75_UX234_.jpg,2020,"Iqbal (Angga Yunanda) is like a Mariposa butterfly to Acha (Adhisty Zara). Each time someone approach, he always runs away. Acha is determined to win Iqbal, a man known to be handsome, smart, yet cold.",Drama,13+,8.5,54,Indonesian,Fajar Bustomi,"['Angga Yunanda', 'Adhisty Zara', 'Dannia Salsabila', 'Abun Sungkar', 'Junior Roberts', 'Syakir Daulay', 'Ariyo Wahab', 'Irgi Fahrezi', 'Ersa Mayori', 'Baim', 'Iszur Muchtar', 'Ruth Permatasari', 'Yudha Keling', 'Diaz Danar', 'Aris Nugraha']",117,13,-0.064632138,1.566003011,-0.118912653,1.226275062,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,1.394652267,-0.061199006,-0.577350269,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
10,May the Devil Take You: Chapter Two,https://m.media-amazon.com/images/M/MV5BMzI4MzAxZTQtNjA1OC00YzA3LTljYzAtZjlmNGJmNDVhMTI0XkEyXkFqcGc@._V1_QL75_UX217.5_.jpg,2020,"Two years after escaping from demonic terror, the young woman is still haunted by unnatural vision. The dangers that await her and her friends are increasingly threatening: the figure of darkness rises to take their lives.",Horror,17+,6.3,150,Indonesian,Timo Tjahjanto,"['Chelsea Islan', 'Widika Sidmore', 'Baskara Mahendra', 'Hadijah Shahab', 'Lutesha', 'Arya Vasco', 'Karina Salim', 'Shareefa Daanish', 'Karina Suwandhi', 'Ruth Marini', 'Aurélie Moeremans', 'Tri Hariono', nan, nan, nan]",110,17,0.741014979,-0.070790776,-0.111817934,0.746906024,-0.313625024,-0.260248119,-0.061199006,-0.175411604,-0.502331015,-0.106399035,-0.717024612,-0.061199006,1.732050808,-0.061199006,-0.061199006,-0.061199006,-0.175411604,0.196874808,-0.061199006,
